Imobilizado;Subnº;Incorporação em;Denominação do imobilizado;Nº inventário;Nº de série;Centro custo;Link;QRCODE
21000303;0;30/06/2011;LONGARINA P/CONSTRUCAO DE PRATELEIRAS;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000303&nome=LONGARINA%20P/CONSTRUCAO%20DE%20PRATELEIRAS;#BLOQUEADO!
21000303;1;30/06/2011;LONGARINA P/CONSTRUCAO DE PRATELEIRAS;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000303&nome=LONGARINA%20P/CONSTRUCAO%20DE%20PRATELEIRAS;#BLOQUEADO!
21000303;2;30/11/2011;CANTONEIRA 3/16X2A-36 6MT,136, 83M FERRO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000303&nome=CANTONEIRA%203/16X2A-36%206MT,136,%2083M%20FERRO;#BLOQUEADO!
21000307;0;31/08/2011;170 KG DE CANTONEIRA1/4X1/2 A36 P/REFORCO DE;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000307&nome=170%20KG%20DE%20CANTONEIRA1/4X1/2%20A36%20P/REFORCO%20DE;#BLOQUEADO!
21000307;1;31/08/2011;13 KG DE PERFIL ENRIJ 100X50X15 P/REFORCO DE;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000307&nome=13%20KG%20DE%20PERFIL%20ENRIJ%20100X50X15%20P/REFORCO%20DE;#BLOQUEADO!
21000307;2;31/08/2011;22,33 KG DE FERRO CHATO 1/AX1.1/2 A36 P/REFORCO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000307&nome=22,33%20KG%20DE%20FERRO%20CHATO%201/AX1.1/2%20A36%20P/REFORCO;#BLOQUEADO!
21000311;0;31/10/2011;N1200 C/ RS485+3 RELE, 02 AIRGATE-MODBUS;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000311&nome=N1200%20C/%20RS485+3%20RELE,%2002%20AIRGATE-MODBUS;#BLOQUEADO!
21000312;0;31/10/2011;CHICOTE 2M X 1/2 TRIFASICO ME1.5 C-B;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000312&nome=CHICOTE%202M%20X%201/2%20TRIFASICO%20ME1.5%20C-B;#BLOQUEADO!
21000314;0;29/02/2012;DUROMETRO P/ BORRACHA SHORE - A/1 RESOLUCAO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000314&nome=DUROMETRO%20P/%20BORRACHA%20SHORE%20-%20A/1%20RESOLUCAO;#BLOQUEADO!
21000315;0;29/02/2012;APLICADOR PARA FITA GOMADA THR 2010;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000315&nome=APLICADOR%20PARA%20FITA%20GOMADA%20THR%202010;#BLOQUEADO!
